"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
195,"2020-03-01 00:03:15.7430","2020-03-01 00:06:31.1650",3641,"Broadway & W 25 St",40.74286877312112,-73.98918628692627,446,"W 24 St & 7 Ave",40.74487634,-73.99529885,27412,"Subscriber",1989,1
1339,"2020-03-01 00:03:25.5170","2020-03-01 00:25:45.4690",3463,"E 16 St & Irving Pl",40.735367055605394,-73.98797392845154,504,"1 Ave & E 16 St",40.73221853,-73.98165557,30670,"Subscriber",1993,1
419,"2020-03-01 00:03:29.4690","2020-03-01 00:10:28.5160",173,"Broadway & W 49 St",40.76068327096592,-73.9845272898674,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,16460,"Subscriber",1980,1
357,"2020-03-01 00:03:31.9580","2020-03-01 00:09:29.5120",364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,3789,"Fulton St & Irving Pl",40.68186,-73.959432,14965,"Subscriber",1987,1
1424,"2020-03-01 00:03:33.4490","2020-03-01 00:27:17.5310",531,"Forsyth St & Broome St",40.71893904,-73.99266288,334,"W 20 St & 7 Ave",40.74238787,-73.99726235,38351,"Subscriber",1994,2
112,"2020-03-01 00:03:35.4680","2020-03-01 00:05:28.3840",119,"Park Ave & St Edwards St",40.69608941,-73.97803415,245,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,31786,"Subscriber",1963,1
181,"2020-03-01 00:03:44.1500","2020-03-01 00:06:45.8560",3582,"Lincoln Pl & Classon Ave",40.6721683,-73.9609,3562,"Classon Ave & St Marks Ave",40.6765198,-73.9596082,16140,"Subscriber",1984,1
147,"2020-03-01 00:03:50.7540","2020-03-01 00:06:18.5000",119,"Park Ave & St Edwards St",40.69608941,-73.97803415,245,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,41983,"Subscriber",1978,2
233,"2020-03-01 00:03:52.8920","2020-03-01 00:07:46.7000",3177,"W 84 St & Broadway",40.7867947,-73.977112,3283,"W 89 St & Columbus Ave",40.7882213,-73.97041561,29564,"Subscriber",1974,1
837,"2020-03-01 00:04:01.6140","2020-03-01 00:17:58.8030",3177,"W 84 St & Broadway",40.7867947,-73.977112,3425,"2 Ave & E 104 St",40.7892105,-73.94370784,37013,"Subscriber",1991,2
